Source;Target;Type;id;weight
1;2;Undirected;1;0.0025
3;4;Undirected;2;0.0025
5;6;Undirected;3;0.01
7;6;Undirected;4;0.005
8;9;Undirected;5;0.0025
10;11;Undirected;6;0.0025
12;13;Undirected;7;0.0025
11;14;Undirected;8;0.0025
15;16;Undirected;9;0.0025
6;17;Undirected;10;0.0025
18;6;Undirected;11;0.0025
6;19;Undirected;12;0.0025
20;21;Undirected;13;0.0025
22;23;Undirected;14;0.005
24;25;Undirected;15;0.0025
26;27;Undirected;16;0.0025
28;29;Undirected;17;0.0025
30;31;Undirected;18;0.0025
11;32;Undirected;19;0.0075
6;33;Undirected;20;0.0025
23;34;Undirected;21;0.0025
35;36;Undirected;22;0.0025
37;11;Undirected;23;0.0025
38;39;Undirected;24;0.0025
40;24;Undirected;25;0.0025
41;42;Undirected;26;0.0025
43;44;Undirected;27;0.0025
45;46;Undirected;28;0.0025
47;48;Undirected;29;0.0025
49;50;Undirected;30;0.0025
51;52;Undirected;31;0.0025
53;54;Undirected;32;0.0025
11;55;Undirected;33;0.0025
56;57;Undirected;34;0.0025
58;11;Undirected;35;0.0025
6;59;Undirected;36;0.0025
60;61;Undirected;37;0.0025
62;63;Undirected;38;0.0025
64;65;Undirected;39;0.0025
66;67;Undirected;40;0.0025
68;69;Undirected;41;0.0025
50;70;Undirected;42;0.0025
71;11;Undirected;43;0.0025
72;73;Undirected;44;0.0025
57;74;Undirected;45;0.0025
47;75;Undirected;46;0.0025
76;24;Undirected;47;0.005
77;78;Undirected;48;0.0025
79;80;Undirected;49;0.0025
81;82;Undirected;50;0.0025
83;84;Undirected;51;0.0025
85;11;Undirected;52;0.0025
86;24;Undirected;53;0.0025
6;87;Undirected;54;0.0025
88;89;Undirected;55;0.005
90;91;Undirected;56;0.0025
92;93;Undirected;57;0.0025
94;95;Undirected;58;0.0025
96;97;Undirected;59;0.0025
98;11;Undirected;60;0.0025
6;99;Undirected;61;0.0025
100;3;Undirected;62;0.0025
101;102;Undirected;63;0.0025
103;104;Undirected;64;0.0025
105;106;Undirected;65;0.0025
107;108;Undirected;66;0.0025
109;110;Undirected;67;0.0025
111;112;Undirected;68;0.0025
113;114;Undirected;69;0.0025
115;116;Undirected;70;0.0025
117;4;Undirected;71;0.0025
118;115;Undirected;72;0.0025
119;6;Undirected;73;0.065
120;121;Undirected;74;0.0025
122;123;Undirected;75;0.0025
22;11;Undirected;76;0.005
11;124;Undirected;77;0.0025
125;126;Undirected;78;0.005
127;128;Undirected;79;0.0025
129;11;Undirected;80;0.0025
6;6;Undirected;81;0.0075
130;6;Undirected;82;0.0025
105;131;Undirected;83;0.0025
132;5;Undirected;84;0.0025
122;133;Undirected;85;0.0025
11;134;Undirected;86;0.01
19;135;Undirected;87;0.0025
3;136;Undirected;88;0.0025
137;138;Undirected;89;0.0025
139;140;Undirected;90;0.0025
141;142;Undirected;91;0.0025
143;6;Undirected;92;0.0025
144;145;Undirected;93;0.01
76;146;Undirected;94;0.0025
97;147;Undirected;95;0.0025
148;149;Undirected;96;0.005
6;150;Undirected;97;0.005
151;119;Undirected;98;0.065
152;6;Undirected;99;0.0025
153;154;Undirected;100;0.01
155;156;Undirected;101;0.0025
157;158;Undirected;102;0.0025
159;11;Undirected;103;0.01
160;6;Undirected;104;0.0025
92;6;Undirected;105;0.0125
