Source;Target;Type;id;weight
1;2;Undirected;1;0.232432432432
3;4;Undirected;2;0.713513513514
5;4;Undirected;3;0.8
6;7;Undirected;4;0.221621621622
8;9;Undirected;5;0.340540540541
10;11;Undirected;6;0.52972972973
12;7;Undirected;7;0.232432432432
13;9;Undirected;8;0.340540540541
14;15;Undirected;9;0.972972972973
16;4;Undirected;10;0.275675675676
17;8;Undirected;11;0.594594594595
18;19;Undirected;12;0.264864864865
20;21;Undirected;13;0.335135135135
5;22;Undirected;14;0.264864864865
23;8;Undirected;15;0.232432432432
24;19;Undirected;16;0.237837837838
25;26;Undirected;17;0.259459459459
12;27;Undirected;18;0.389189189189
18;28;Undirected;19;0.259459459459
29;30;Undirected;20;0.621621621622
5;30;Undirected;21;0.621621621622
31;4;Undirected;22;0.356756756757
32;23;Undirected;23;0.221621621622
33;34;Undirected;24;0.535135135135
20;8;Undirected;25;0.335135135135
22;35;Undirected;26;0.216216216216
22;36;Undirected;27;0.302702702703
22;37;Undirected;28;0.427027027027
29;19;Undirected;29;0.627027027027
8;27;Undirected;30;0.389189189189
8;38;Undirected;31;0.232432432432
39;9;Undirected;32;0.340540540541
8;6;Undirected;33;0.221621621622
40;12;Undirected;34;0.216216216216
41;26;Undirected;35;0.221621621622
19;42;Undirected;36;0.227027027027
17;43;Undirected;37;0.594594594595
27;9;Undirected;38;0.340540540541
19;44;Undirected;39;0.437837837838
45;46;Undirected;40;0.243243243243
47;19;Undirected;41;0.302702702703
48;49;Undirected;42;0.291891891892
4;50;Undirected;43;0.356756756757
4;35;Undirected;44;0.216216216216
23;51;Undirected;45;0.221621621622
52;53;Undirected;46;0.783783783784
54;12;Undirected;47;0.318918918919
55;30;Undirected;48;0.621621621622
22;56;Undirected;49;0.237837837838
57;58;Undirected;50;0.621621621622
59;60;Undirected;51;0.221621621622
61;41;Undirected;52;0.221621621622
20;62;Undirected;53;0.335135135135
22;63;Undirected;54;0.416216216216
16;42;Undirected;55;0.216216216216
22;64;Undirected;56;0.345945945946
30;65;Undirected;57;0.616216216216
4;61;Undirected;58;0.221621621622
22;66;Undirected;59;0.254054054054
6;51;Undirected;60;0.221621621622
4;67;Undirected;61;0.232432432432
4;66;Undirected;62;0.286486486486
4;49;Undirected;63;0.378378378378
39;68;Undirected;64;0.351351351351
29;58;Undirected;65;0.621621621622
54;8;Undirected;66;0.318918918919
69;62;Undirected;67;0.32972972973
4;70;Undirected;68;0.486486486486
55;19;Undirected;69;0.637837837838
12;71;Undirected;70;0.232432432432
19;36;Undirected;71;0.318918918919
1;72;Undirected;72;0.232432432432
32;12;Undirected;73;0.221621621622
61;26;Undirected;74;0.221621621622
19;73;Undirected;75;0.254054054054
12;74;Undirected;76;0.389189189189
4;58;Undirected;77;0.621621621622
17;12;Undirected;78;0.594594594595
4;75;Undirected;79;0.367567567568
76;74;Undirected;80;0.345945945946
77;7;Undirected;81;0.221621621622
22;78;Undirected;82;0.421621621622
60;51;Undirected;83;0.221621621622
4;30;Undirected;84;0.627027027027
8;62;Undirected;85;0.345945945946
79;28;Undirected;86;0.259459459459
4;64;Undirected;87;0.675675675676
12;13;Undirected;88;0.372972972973
1;80;Undirected;89;0.232432432432
19;81;Undirected;90;0.221621621622
33;82;Undirected;91;0.535135135135
4;63;Undirected;92;0.421621621622
42;46;Undirected;93;0.221621621622
5;19;Undirected;94;0.805405405405
76;27;Undirected;95;0.362162162162
57;68;Undirected;96;0.356756756757
83;12;Undirected;97;0.264864864865
22;84;Undirected;98;0.254054054054
19;85;Undirected;99;0.221621621622
19;75;Undirected;100;0.367567567568
68;74;Undirected;101;0.345945945946
4;46;Undirected;102;0.254054054054
55;86;Undirected;103;0.291891891892
19;87;Undirected;104;0.443243243243
4;88;Undirected;105;0.421621621622
16;22;Undirected;106;0.275675675676
42;89;Undirected;107;0.221621621622
90;49;Undirected;108;0.291891891892
19;64;Undirected;109;0.681081081081
40;7;Undirected;110;0.216216216216
55;5;Undirected;111;0.627027027027
76;9;Undirected;112;0.340540540541
4;90;Undirected;113;0.378378378378
42;45;Undirected;114;0.221621621622
79;18;Undirected;115;0.259459459459
91;24;Undirected;116;0.221621621622
39;76;Undirected;117;0.394594594595
77;38;Undirected;118;0.221621621622
68;27;Undirected;119;0.362162162162
69;12;Undirected;120;0.32972972973
32;77;Undirected;121;0.221621621622
40;51;Undirected;122;0.216216216216
92;4;Undirected;123;0.956756756757
29;5;Undirected;124;0.621621621622
88;22;Undirected;125;0.297297297297
10;82;Undirected;126;0.52972972973
93;19;Undirected;127;0.443243243243
12;33;Undirected;128;0.562162162162
57;39;Undirected;129;0.372972972973
18;94;Undirected;130;0.259459459459
8;71;Undirected;131;0.232432432432
