id;label
76;exclusive
46;jason
86;cute
108;over
146;seen
115;baby
114;go
152;still
1;galaxy
90;style
15;ver
12;ads
161;bestmovieline
97;tv
109;originalfunko
154;better
5;going
112;skydoestweeting
65;ultron
116;comicbooknow
104;has
103;excited
127;ross
35;dodge
143;good
69;watching
44;very
99;vin
120;watch
11;they
52;amp
36;ticket
171;now
31;armys
136;auto_porn
21;alex
141;james
119;eljuanpazurita
64;gotgvol2event
63;rock
150;out
129;set
111;art
54;imagen
59;ten
106;fucking
68;jamesgunn
6;see
74;video
84;retweet
139;really
42;gunn
134;space
3;announces
98;review
117;muero
13;diesel
126;fingers
25;does
88;bbmasvotes2017
162;lord
91;abggaram96
166;friday
57;gotgvol2
26;million
110;gotg
77;here
48;pratt
145;gamora
174;wait
164;advance
16;about
28;voice
125;tikis
121;lithograph
18;games
4;guardians
85;comes
41;first
30;seeing
81;already
158;love
140;family
93;posterposse
9;win
14;por
118;misfit
151;toys
50;size
131;playlist
23;puts
22;fast
172;why
113;whoo
165;series
8;was
147;pretty
33;poster
163;great
148;movies
153;volume
82;sideshow
34;part
43;vol2
87;known
96;line
40;trying
45;spin
155;than
39;hd
138;cbr
2;made
169;soundtrack
157;car
92;ride
100;cast
105;del
80;fun
67;making
61;ultra
107;ve
19;clip
17;vol
94;awesome
159;tyrese
78;sales
124;geeki
156;his
55;filtrada
27;watched
32;goonies
142;saw
170;check
51;film
135;if
102;again
60;zoe
24;hoo
137;statham
79;starlordspeter
38;crachancraite
95;mix
132;amazing
149;role
160;take
144;saldana
89;gets
53;pint
168;week
73;added
101;star
71;may
173;spoilers
167;who
72;drift
56;btsbbmas
70;itsdanygcc
130;director
49;chance
123;significant
47;chris
58;heroes
128;weekend
133;avengers
66;off
62;entre
37;age
122;youtube
75;primera
10;groot
83;supercarvines
29;movie
7;furious
20;marvel
